7009.5000	H894	A17	125001
34151.0000	G702	F539	3000000
34240.5000	G702	A136	375001
34601.0000	G702	F639	3000000
34631.0000	G702	F538	3000000
34651.0000	G702	F562	3000000
35572.5000	H849	F534	875001
35800.5000	F578	A136	375001
37322.5000	G702	F534	875001
40825.0000	G764	A102	1500001
41859.5000	F647	A136	125001
42981.0000	F595	A136	500001
43082.0000	H991	F573	750001
43564.5000	F647	A136	1375001
44224.0000	H991	E507	1250001
44488.0000	H965	F573	2249999
45926.0000	E473	E507	1749999
46124.0000	F621	F534	1249998
46150.0000	F647	A136	249995
54741.0000	F638	E466	3000000
88840.0000	H950	H828	250001
94920.0000	H822	E428	250001
105300.0000	E466	A32	3000000
106211.0000	A32	A46	3000000
114640.0000	A32	E428	2749999
115721.0000	A32	E434	3000000
118290.5000	G712	A17	2874999
125921.0000	F595	A59	3000000
125990.0000	H894	H828	2749999
173559.5000	G712	A140	125001
175615.0000	A32	A140	1500001
175701.0000	A32	E486	3000000
183005.0000	A32	A102	1499999

